user_id,action_name,time_period,negative_type,positive_label,pattern_id,reason
user_070,下载流水,early_morning,low_count,0,time_period_negative_000,should_not_be_time_period_task
user_093,下载流水,morning,low_active_days,0,time_period_negative_001,should_not_be_time_period_task
user_086,查看公积金,afternoon,low_share,0,time_period_negative_002,should_not_be_time_period_task
user_227,下载流水,evening,low_count,0,time_period_negative_003,should_not_be_time_period_task
user_098,查看工资流水,early_morning,low_active_days,0,time_period_negative_004,should_not_be_time_period_task
user_172,汇款跟踪,morning,low_share,0,time_period_negative_005,should_not_be_time_period_task
user_208,下载流水,afternoon,low_count,0,time_period_negative_006,should_not_be_time_period_task
user_148,查看社保,evening,low_active_days,0,time_period_negative_007,should_not_be_time_period_task
user_134,查看工资流水,early_morning,low_share,0,time_period_negative_008,should_not_be_time_period_task
user_055,查看社保,morning,low_count,0,time_period_negative_009,should_not_be_time_period_task
user_049,查看社保,afternoon,low_active_days,0,time_period_negative_010,should_not_be_time_period_task
user_108,查看公积金,evening,low_share,0,time_period_negative_011,should_not_be_time_period_task
user_094,个税试算,early_morning,low_count,0,time_period_negative_012,should_not_be_time_period_task
user_196,查看工资流水,morning,low_active_days,0,time_period_negative_013,should_not_be_time_period_task
user_021,个税试算,afternoon,low_share,0,time_period_negative_014,should_not_be_time_period_task
user_163,汇款跟踪,evening,low_count,0,time_period_negative_015,should_not_be_time_period_task
user_181,查看工资流水,early_morning,low_active_days,0,time_period_negative_016,should_not_be_time_period_task
user_224,汇款跟踪,morning,low_share,0,time_period_negative_017,should_not_be_time_period_task
user_033,个税试算,afternoon,low_count,0,time_period_negative_018,should_not_be_time_period_task
user_107,查看工资流水,evening,low_active_days,0,time_period_negative_019,should_not_be_time_period_task
user_156,下载流水,early_morning,low_share,0,time_period_negative_020,should_not_be_time_period_task
user_014,个税试算,morning,low_count,0,time_period_negative_021,should_not_be_time_period_task
user_191,下载流水,afternoon,low_active_days,0,time_period_negative_022,should_not_be_time_period_task
user_235,下载流水,evening,low_share,0,time_period_negative_023,should_not_be_time_period_task
user_238,汇款跟踪,early_morning,low_count,0,time_period_negative_024,should_not_be_time_period_task
user_201,查看公积金,morning,low_active_days,0,time_period_negative_025,should_not_be_time_period_task
user_048,下载流水,afternoon,low_share,0,time_period_negative_026,should_not_be_time_period_task
user_161,查看公积金,evening,low_count,0,time_period_negative_027,should_not_be_time_period_task
user_039,汇款跟踪,early_morning,low_active_days,0,time_period_negative_028,should_not_be_time_period_task
user_053,个税试算,morning,low_share,0,time_period_negative_029,should_not_be_time_period_task
user_104,查看工资流水,afternoon,low_count,0,time_period_negative_030,should_not_be_time_period_task
user_018,查看社保,evening,low_active_days,0,time_period_negative_031,should_not_be_time_period_task
user_036,下载流水,early_morning,low_share,0,time_period_negative_032,should_not_be_time_period_task
user_188,查看社保,morning,low_count,0,time_period_negative_033,should_not_be_time_period_task
user_047,查看工资流水,afternoon,low_active_days,0,time_period_negative_034,should_not_be_time_period_task
user_128,个税试算,evening,low_share,0,time_period_negative_035,should_not_be_time_period_task
user_165,查看工资流水,early_morning,low_count,0,time_period_negative_036,should_not_be_time_period_task
user_183,个税试算,morning,low_active_days,0,time_period_negative_037,should_not_be_time_period_task
user_016,查看公积金,afternoon,low_share,0,time_period_negative_038,should_not_be_time_period_task
user_192,下载流水,evening,low_count,0,time_period_negative_039,should_not_be_time_period_task
user_005,个税试算,early_morning,low_active_days,0,time_period_negative_040,should_not_be_time_period_task
user_177,查看公积金,morning,low_share,0,time_period_negative_041,should_not_be_time_period_task
user_146,查看工资流水,afternoon,low_count,0,time_period_negative_042,should_not_be_time_period_task
user_082,查看社保,evening,low_active_days,0,time_period_negative_043,should_not_be_time_period_task
user_112,个税试算,early_morning,low_share,0,time_period_negative_044,should_not_be_time_period_task
user_065,汇款跟踪,morning,low_count,0,time_period_negative_045,should_not_be_time_period_task
user_060,汇款跟踪,afternoon,low_active_days,0,time_period_negative_046,should_not_be_time_period_task
user_171,下载流水,evening,low_share,0,time_period_negative_047,should_not_be_time_period_task
user_214,查看工资流水,early_morning,low_count,0,time_period_negative_048,should_not_be_time_period_task
user_151,查看工资流水,morning,low_active_days,0,time_period_negative_049,should_not_be_time_period_task
user_120,汇款跟踪,afternoon,low_share,0,time_period_negative_050,should_not_be_time_period_task
user_213,下载流水,evening,low_count,0,time_period_negative_051,should_not_be_time_period_task
user_135,汇款跟踪,early_morning,low_active_days,0,time_period_negative_052,should_not_be_time_period_task
user_123,汇款跟踪,morning,low_share,0,time_period_negative_053,should_not_be_time_period_task
user_218,个税试算,afternoon,low_count,0,time_period_negative_054,should_not_be_time_period_task
user_152,查看公积金,evening,low_active_days,0,time_period_negative_055,should_not_be_time_period_task
user_145,下载流水,early_morning,low_share,0,time_period_negative_056,should_not_be_time_period_task
user_229,汇款跟踪,morning,low_count,0,time_period_negative_057,should_not_be_time_period_task
user_046,查看社保,afternoon,low_active_days,0,time_period_negative_058,should_not_be_time_period_task
user_195,个税试算,evening,low_share,0,time_period_negative_059,should_not_be_time_period_task
